Zona,grandiente,Edad,Sexo,Instruccion,Hombres,Mujeres,Vivienda_Habitacion,Vivienda_Material,Tipo_Servicio,Paga_mes,Como_Purif_Agua,Tipo_Organizaciones,Tipo_actividad_sociocultural,Platos_tipicos,Acceso_educacion,Acceso_salud,Servio_trasporte,Actividad_Productiva,Tipos_Cultivos,Tipos_Animales,Area_Ocupada,Rol_Esposo,Rol_Esposa,Lugar_Venta_Productos,Tipo_financiamiento,Nivel_suficiencia_ecoomica,Ingreso_Mensual,RRNN_Finca,Grado_Importancia_RRNN,Cantidad_agua,Calidad_agua,Descarga_aguas_residuales,Manejo_residuos_solidos,Conflictos_tipos_tenencia_tierra,Uso_Agua
Zapotepamba,Baja,48,Femenino,Secundaria,3,4.0,Propia,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,No,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Importante,Buena,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
San Vicente de la Salera,Alta,19,Femenino ,Bachillerato,6,3.0,Propia ,"Adobe, Madera","Agua Entubada,Pozo Septico,Energia Electrica,Gas,Telefonia","USD 1,00-5,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",No tiene,No,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba","Gallinas, Cerdos, Ganado vacuno","0,10-1,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha ","Recursos propios, Bono de desarrollo",En parte,100-300,"Agua, Suelo, Madera, Leña",Importante,Buena,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,47,Femenino ,Secundaria,2,2.0,Propia ,"Adobe, Madera","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Regular,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",Conflictos por herencia,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,29,Femenino ,Secundaria,2,3.0,Propia ,Ladrillo,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta","Sistema agropecuario, Comercio ","Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,100-300,"Agua, Suelo, Madera, Leña",Poco importante,Buena,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Zapotepamba ,Baja,76,Masculino,Primaria,1,,Propia,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Importante,Buena,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",Conflictos por herencia,"Consumo domestico, Riego, Ganaderia"
San Vicente de la Salera,Alta,52,Femenino,Primaria,2,4.0,Propia,"Adobe, Madera","Agua Entubada,Pozo Septico,Energia Electrica,Gas,Telefonia","USD 1,00-5,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",No tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba","Gallinas, Cerdos, Ganado vacuno","0,10-1,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha ","Recursos propios, Bono de desarrollo",SI,100-300,"Agua, Suelo, Madera, Leña",Importante,Mala,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
San Vicente de la Salera,Alta,56,Masculino,Primaria,2,2.0,Propia,"Adobe, Madera","Agua Entubada,Pozo Septico,Energia Electrica,Gas,Telefonia","USD 1,00-5,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",No tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba","Gallinas, Cerdos, Ganado vacuno","0,10-1,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha ","Recursos propios, Creditos institucionales",SI,100-300,"Agua, Suelo, Madera, Leña",Muy importante,Buena,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,62,Femenino,Secundaria,0,2.0,Propia,Ladrillo,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta","Sistema agropecuario, Comercio ","Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,100-300,"Agua, Suelo, Madera, Leña",Poco importante,Muy mala,Muy mala,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",Conlictos por limites de tierras,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,75,Femenino,Secundaria,0,1.0,Propia,"Bloque de hormigon, Madera","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,100-300,"Agua, Suelo, Madera, Leña",Muy Importante,Regular,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",Conlictos por limites de tierras,"Consumo domestico, Riego, Ganaderia"
Zapotepamba,Baja,72,Femenino,Primaria,1,2.0,Propia,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,No,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Importante,Buena,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,80,Femenino ,Primaria,2,1.0,Propia ,"Adobe, ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,No,"Bus, Ranchera, Camioneta","Sistema agropecuario, Comercio ","Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,100-300,"Agua, Suelo, Madera, Leña",Muy Importante,Excelente,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",Conflictos por herencia,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,84,Femenino,Primaria,1,1.0,Propia ,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",NO,100-300,"Agua, Suelo, Madera, Leña",Muy Importante,Mala,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,64,Femenino,Primaria,5,4.0,Propia ,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,42,Femenino,Secundaria,2,5.0,Prestada,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Muy Importante,Buena,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,64,Femenino,Primaria,2,1.0,Propia ,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Muy Importante,Regular,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Zapotepamba,Baja,57,Femenino,Primaria,3,1.0,Propia,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",Conlictos por límites de tierras,"Consumo domestico, Riego, Ganaderia"
Zapotepamba,Baja,62,Masculino,Secundaria,1,1.0,Propia ,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,No,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Regular,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,54,Femenino,Primaria,2,5.0,Arrendada,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Muy importante,Regular,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,78,Femenino,Primaria,0,1.0,Propia ,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Importante,Regular,Regular,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,30,Masculino,Primaria,1,1.0,Propia ,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Zapotepamba ,Baja,54,Femenino,Primaria ,1,1.0,Propia ,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",NO,50-200,"Agua, Suelo, Madera, Leña",Muy importante,Mala,Mala,"Pozo septico, inflitracion en el suelo","Quema, Uso para abono",NO,"Consumo domestico, Riego, Ganaderia"
Santa Gertrudis,Alta,56,Femenino,Primaria,2,4.0,Propia,"Adobe, Madera, Ladrillo","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba, Cafe","Gallinas, Cerdos, Ganado vacuno","0,25-2,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Muy mala,Buena,"Pozo septico, inflitracion en el suelo","Quema, Uso para abono",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,49,Masculino,Secundaria,1,1.0,Propia,"Bloque de hormigon, Madera","Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",En parte,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Mala,Mala,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,68,Masculino,Primaria,1,2.0,Propia,Ladrillo,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Creditos institucionales",No,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Muy mala,Mala,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
San Vicente de la Salera,Alta,73,Masculino,Ninguna,1,1.0,Propia,"Adobe, Madera","Agua Entubada,Pozo Septico,Energia Electrica,Gas,Telefonia","USD 1,00-5,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",No tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba","Gallinas, Cerdos, Ganado vacuno","0,10-1,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha ","Recursos propios, Creditos institucionales",SI,100-300,"Agua, Suelo, Madera, Leña",Muy importante,Mala,Regular,"Pozo septico, inflitracion en el suelo","Quema, Uso para abono",NO,"Consumo domestico, Riego, Ganaderia"
Zapotepamba,Baja,84,Masculino,Primaria,2,3.0,Propia ,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Muy importante,Mala,Mala,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,80,Masculino,Ninguna,1,1.0,Propia,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,100-300,"Agua, Suelo, Madera, Leña",Importante,Regular,Excelente,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
Guaypira,Media,65,Femenino,Primaria,1,1.0,Propia,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 1,50-9,00",No realiza,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Bus, Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Mani, Zarandaja","Gallinas, Cerdos, Ganado vacuno","0,25-6,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Regular,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Zapotepamba,Baja,65,Femenino ,Primaria,1,1.0,Propia ,Bloque de hormigon,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Importante,Buena,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
Zapotepamba,Baja,76,Masculino,Primaria,2,4.0,Propia,Adobe,"Agua entubada,Pozo septico,Recoleccion basura,Energia elecrica,Gas,Internet,Telefonia","USD 2,50-8,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",Si tiene,NO,"Ranchera, Camioneta","Sistema agropecuario, Comercio ","Maiz, Mani ","Gallinas, Cerdos, Ganado caprino","0,10-2,00","Manejo de ganado caprino, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Catacocha, Loja","Recursos propios, Bono de desarrollo",SI,50-200,"Agua, Suelo, Madera, Leña",Fundamental,Excelente,Excelente,"Pozo septico, inflitracion en el suelo","Clasifica, Deposita en contenedores",NO,"Consumo domestico, Riego, Ganaderia"
San Vicente de la Salera,Alta,43,Masculino,Primaria,3,2.0,Propia,"Adobe, Madera","Agua Entubada,Pozo Septico,Energia Electrica,Gas,Telefonia","USD 1,00-5,00",Hervir,"Junta de agua, comite barrial ","Religiosas, Culturales, Civicas","Seco de chivo, Humas, Miel con quesillo, caldo de gallina criolla, Mani frito",No tiene,NO,"Ranchera, Camioneta",Sistema agropecuario ,"Maiz, Frejol, Haba","Gallinas, Cerdos, Ganado vacuno","0,10-1,00","Manejo de ganado vacuno, Siembra, Poscosecha","Manejo de animales menores, Ama de casa, Cosecha","Casanga, Catacocha ","Recursos propios, Creditos institucionales",En parte,100-300,"Agua, Suelo, Madera, Leña",Fundamental,Regular,Buena,"Pozo septico, inflitracion en el suelo","Clasifica, Quema",NO,"Consumo domestico, Riego, Ganaderia"
